,accuracy,f1,precision,recall,roc_auc_ovr,roc_auc_ovo
min_baseline,0.6632653061224489,0.6670801033591731,0.6670801033591731,0.6670801033591731,0.7448994148520036,0.75031007751938
bow l1 only release,0.6231884057971014,0.6285423704188006,0.6388285024154589,0.6223973783088962,0.7703948873092905,0.7765629855637485
bow elasticnet,0.6086956521739131,0.6141591902461467,0.6199841255842666,0.6100516992965506,0.7839433445571032,0.788908664576094
bow release title,0.5362318840579711,0.5419554020617015,0.5637254901960785,0.5314857191287398,0.7827518702237636,0.7880187586518632
bow release all num,0.6086956521739131,0.611421273490239,0.6228005865102639,0.6048535186597733,0.7866511994004007,0.791620758821369
bow svc only release,0.6521739130434783,0.6610107644590403,0.6752199413489736,0.6522869169703648,0.7806281520974365,0.7861259428765149
tf_idf l1 only release,0.6231884057971014,0.6227945723744043,0.6315628815628815,0.6214933468938045,0.7861897912650186,0.7923976608187133
tf_idf only release best word,0.7101449275362319,0.713468720821662,0.726896551724138,0.7081108568522755,0.812163950916756,0.8174986580783683
tf_idf title release,0.6956521739130435,0.6977810529763366,0.7206909937888198,0.6884199225923101,0.8195455171570317,0.8246179054722153
tf_idf numerical release,0.6666666666666666,0.6762866762866763,0.7165135059871902,0.6603384467610249,0.7693503005337096,0.7711387970731982
tf-idf svc only release,0.7246376811594203,0.7234977324263038,0.7495726495726496,0.7174054298386868,0.8522900532387704,0.8555103539848009
MultinomialNB,0.6376811594202898,0.6352454456960088,0.6325396825396825,0.6515806424273243,0.7664472395954061,0.7737732011187389
word2vec,0.5797101449275363,0.5816512093107838,0.5788888888888889,0.5853603412718592,0.7477392189896196,0.7534819334971891
word2vec_pretrained,0.5942028985507246,0.6083926290822842,0.6234115347018573,0.5986100516992966,0.7573777415369739,0.7651072124756335
word2vec_pretrained svc,0.5652173913043478,0.5748538011695906,0.5833630421865715,0.5687205130378281,0.709258837541706,0.7176738141650422
glove svc only release,0.6521739130434783,0.6580896686159844,0.6666072489601902,0.6522869169703648,0.7641080729315178,0.7711811735457808
