,accuracy,f1,precision,recall,roc_auc_ovr,roc_auc_ovo
min_baseline,0.6631578947368421,0.6678928361468044,0.6699186991869919,0.6661111111111112,0.7450102675102676,0.7495833333333334
bow l1 only release,0.6212121212121212,0.6270575119679979,0.6429951690821256,0.6193109585558099,0.7667828021500757,0.7707220950928044
bow elasticnet,0.7424242424242424,0.7427697262479871,0.7482129975736114,0.7395436053902874,0.8717391016785703,0.8732042969743198
bow release title,0.7424242424242424,0.7427697262479871,0.7482129975736114,0.7395436053902874,0.8699941380161483,0.8714880498347318
bow release all num,0.696969696969697,0.6958074009745742,0.6991830065359478,0.6942219679633869,0.8619216349119302,0.8637967200610221
bow svc only release,0.6818181818181818,0.6875949032811778,0.7095238095238096,0.6785214848715994,0.8354743670178033,0.8374173658784643
tf_idf l1 only release,0.6060606060606061,0.6130568974771874,0.6438498699368265,0.601767098906687,0.7841821034208433,0.7876144164759724
tf_idf only release best word,0.7575757575757576,0.7612200435729847,0.7694592988710637,0.7564836003051106,0.901641585003966,0.9032704042715484
tf_idf title release,0.7121212121212122,0.7179032853451458,0.7374999999999999,0.709954233409611,0.8787469513247727,0.881340579710145
tf_idf numerical release,0.6818181818181818,0.6884573234447077,0.7312480547774666,0.6773137554030001,0.8358718748504713,0.8371948893974066
tf-idf svc only release,0.7727272727272727,0.7769230769230768,0.7905844155844156,0.7703724891939995,0.926754218295226,0.927695143656242
MultinomialNB,0.6363636363636364,0.6293183940242764,0.6280423280423281,0.6423213831680651,0.7729945341838965,0.7771421306890414
word2vec,0.5606060606060606,0.5637871853546911,0.5620414673046251,0.5668065090261887,0.7273100135757481,0.7325197050597508
word2vec_pretrained,0.5909090909090909,0.6031355391486647,0.6287213536089098,0.5909293160437326,0.7606292512727605,0.7651760742435799
word2vec_pretrained_stop_words,0.5,0.5139209726443769,0.5251068376068376,0.5063882532418001,0.6936526548666867,0.697273073989321
word2vec_pretrained svc,0.5606060606060606,0.5698576150521232,0.5698576150521232,0.5698576150521232,0.7435408806672722,0.7493166793796084
